0 TextAsset Base
 1 string m_Name = "逆転アルちゃんダイアログ-待合室2"
 1 string m_Script = "﻿ID,キャラクター,所属,セリフ <se:効果音名>　<speed:>=タイプ速度(デフォ0.08)　<t秒数>=一時停止　<effect1>=フラッシュ　<effect2>=揺れ大　<effect3>=揺れ小　<color:#RRGGBB>=赤色　<center></center>=中央揃え,背景,キャラ画像,BGM,表情アニメ,フキダシ 1=異議あり青　2=異議ありピンク　3=待った青　4=待ったピンク　5=くらいなさい　6=強制突き付けモード,会話後の暗転 1=フェードインアウト　3=シーンの終わり用　4=エンドロール用,自動ジャンプID-1,条件未達成で飛ばす/解除フラグ,突き付け正解証拠品,アイテム表示,アイテム入手,突き付け正解ID-1,突き付け失敗ID-1\r\n
24,하루카,흥신소 68,<se:ツッコミ><effect2>그렇게!　<t0.5><effect2>아루 님이 필사적으로 저 따위를 <br>변호해주시고 있는데!,待合室,ハルカ-焦り,,FALSE,0,0,0,,,,,0,0\r\n
25,하루카,흥신소 68,<se:ツッコミ><effect3>저 같은 건!　<t0.3><effect2><se:衝撃>사형!　<t0.3><effect2>사형 받아 마땅해요!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
26,아루,흥신소 68,지、 <t0.3><effect3>진정해!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
27,아루,흥신소 68,하루카. <t0.5>이번 재판은、 <t0.3>네가 없었으면、 <t0.3><br>진범을 잡는 건 불가능했어.,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
28,카요코,흥신소 68,응. <t0.5>확실히.,待合室,カヨコ-笑顔,,FALSE,0,0,0,,,,,0,0\r\n
29,하루카,흥신소 68,그、 <t0.3>그런가요……?,待合室,ハルカ-考える,,FALSE,0,0,0,,,,,0,0\r\n
30,아루,흥신소 68,（증거품으로 알려 주자.）,待合室,,,FALSE,6,0,0,,하루카의 개조 폭탄,,,35,30\r\n
31,아루,흥신소 68,자、 <t0.3>이거…….,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
32,하루카,흥신소 68,…………?,待合室,ハルカ-考える,,FALSE,0,0,0,,,,,0,0\r\n
33,하루카,흥신소 68,<se:気付き><effect1><effect3>앗!!,待合室,ハルカ-通常,,FALSE,0,0,0,,,,,0,0\r\n
34,하루카,흥신소 68,<effect2><se:ツッコミ>저도 그 쓰레기와 똑같은 존재라는 뜻이군요!!<br><t0.5><effect2><se:衝撃2>역시 죽겠습니다!,待合室,ハルカ-焦り,,FALSE,0,0,0,,,,,0,0\r\n
35,아루,흥신소 68,아、 <t0.3><se:ツッコミ><effect3>아니아니 잘못 꺼낸 거야!<br><t0.5>（딱히 쓰레기는 아닌데…….）,待合室,,,FALSE,0,0,29,,,,,0,0\r\n
36,아루,흥신소 68,하루카、 <t0.3>이거…….,待合室,,,FALSE,0,0,0,,,하루카의 개조 폭탄,,0,0\r\n
37,하루카,흥신소 68,<se:気付き><effect1>아!　<t0.5><br>이거、 <t0.3>가지고 계셔 주셨네요……!,待合室,ハルカ-えへへ草,,FALSE,0,0,0,,,,,0,0\r\n
38,아루,흥신소 68,네가 현장에서 이걸 갖고 오지 않았더라면、 <br><t0.3>분명 진범의 실마리를 얻는 건 불가능했을 거야.,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
39,아루,흥신소 68,너도 승리에 일조했어.,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
40,하루카,흥신소 68,<se:気付き><effect1>!,待合室,ハルカ-通常,,FALSE,0,0,0,,,end,,0,0\r\n
41,아루,흥신소 68,그러니 자랑스러워해도 좋아.<br><t0.5>너도 훌륭한 흥신소 68의 일원이니까.,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
42,하루카,흥신소 68,에、 <t0.3><se:疑問><effect1>에헤헤헤……,待合室,ハルカ-えへへ爆弾,,FALSE,0,0,0,,,,,0,0\r\n
43,카요코,흥신소 68,<se:気付き><effect1>!,待合室,カヨコ-心配,,FALSE,0,0,0,,,,,0,0\r\n
44,아루,흥신소 68,하、 <t0.3>하루카?,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
45,하루카,흥신소 68,아루 님한테……<br><t0.5>그런 말씀을 듣다니……,待合室,ハルカ-えへへ爆弾,,FALSE,0,0,0,,,,,0,0\r\n
46,하루카,흥신소 68,이젠、 <t0.3><se:ツッコミ><effect3>죽어도 여한이 없어요!　<t0.5><se:衝撃><effect2>죽어도 좋아요!　<br><t0.3>아니、 <t0.3><se:ツッコミ><effect2>죽을게요!　<t0.3><se:衝撃2><effect2>이 폭탄으로 지금 당장!,待合室,ハルカ-焦り,,FALSE,0,0,0,,,,,0,0\r\n
47,아루,흥신소 68,기、 <t0.3><se:ツッコミ><effect3>기다려……!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
48,하루카,흥신소 68,에헤헤…….,待合室,ハルカ-えへへ爆弾,,FALSE,0,0,0,,,,,0,0\r\n
49,무츠키,흥신소 68,이건 이미、 <br><t0.3>그 대사를 말할 수 밖에 없지 않아ー?,待合室,ムツキ-くふふ,,FALSE,0,0,0,,,,,0,0\r\n
50,카요코,흥신소 68,무슨 수를 써도 좋으니까 하루카를 멈춰 줘…….,待合室,カヨコ-呆れ,,FALSE,0,0,0,,,,,0,0\r\n
51,아루,흥신소 68,그、 <t0.3>그럼 성원에 힘입어……,待合室,,,FALSE,1,4,0,,,,,0,0\r\n
52,,,,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
"
