0 TextAsset Base
 1 string m_Name = "逆転아루ちゃんダイアログ-대합실1"
 1 string m_Script = "﻿ID,キャラクター,所属,セリフ <se:効果音名>　<speed:>=タイプ速度(デフォ0.08)　<t秒数>=一時停止　<effect1>=フラッシュ　<effect2>=揺れ大　<effect3>=揺れ小　<color:#RRGGBB>=赤色　<center></center>=中央揃え,背景,キャラ画像,BGM,表情アニメ,フキダシ 1=異議あり青　2=異議ありピンク　3=待った青　4=待ったピンク　5=くらいなさい,会話後の暗転 1=フェードインアウト　3=シーンの終わり用,自動ジャンプID-1,条件未達成で飛ばす/解除フラグ,突き付け正解証拠品,アイテム表示,アイテム入手,突き付け正解ID-1,突き付け失敗ID-1\r\n
35,하루카,흥신소 68,그리고 아까우니까<t0.2><br>개조해서 언제든 쓸 수 있게 만들어 뒀습니다.,대합실,하루카-えへへ草,,FALSE,0,0,0,,,,,0,0\r\n
36,아루,흥신소 68,<se:ツッコミ><effect3>이걸 어디다 쓰라고!?,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
37,,,<se:入手><speed:0><color:#A9CEEC>証拠品≪하루카의 개조 폭탄≫을<br>받았다.</color>,대합실,,,FALSE,0,0,0,,,,Item3,0,0\r\n
38,관리인,,<effect3>변호인! <br><t0.5>개정시간까지 오시지 않으면 <t0.3>입정 시켜드릴 수 없습니다!,대합실,係官,,FALSE,0,0,0,,,end,,0,0\r\n
39,아루,흥신소 68,기、 <t0.3><effect3>기다려 지금 갈 테니까!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
40,하루카,흥신소 68,잘 부탁 드립니다! <t0.5>아루 님!,대합실,하루카-えへへ草,,FALSE,0,0,0,,,,,0,0\r\n
41,아루,흥신소 68,<speed:0.1>（아아……<t0.3>금방이라도 정신이 날아갈 것 같아……）,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
42,아루,흥신소 68,（하지만 힘내자! <t0.5><se:突き付け><effect1>하루카의 무죄를 증명하기 위해서!）,대합실,,,FALSE,0,3,0,,,,,0,0\r\n
43,,,,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
"
